epsilon,N200,N500,N1000,N2000
3.499999999999999778e-01,9.987059999999999826e-01,9.958430000000000337e-01,9.954169999999999963e-01,9.975000000000000533e-01
3.699999999999999956e-01,9.984020000000000117e-01,9.955469999999999597e-01,9.949710000000000498e-01,9.972210000000000241e-01
3.899999999999999578e-01,9.981520000000000392e-01,9.949719999999999676e-01,9.943739999999999801e-01,9.968369999999999731e-01
4.099999999999999756e-01,9.977780000000000538e-01,9.943710000000000049e-01,9.936209999999999765e-01,9.963269999999999627e-01
4.299999999999999933e-01,9.972419999999999618e-01,9.938569999999999904e-01,9.927610000000000046e-01,9.957219999999999960e-01
4.499999999999999556e-01,9.967340000000000089e-01,9.930999999999999828e-01,9.919430000000000192e-01,9.949519999999999476e-01
4.699999999999999734e-01,9.959219999999999740e-01,9.921210000000000306e-01,9.907230000000000203e-01,9.940870000000000539e-01
4.899999999999999911e-01,9.950219999999999620e-01,9.910179999999999545e-01,9.889970000000000150e-01,8.915830000000000144e-01
5.100000000000000089e-01,9.937920000000000087e-01,9.890560000000000462e-01,1.550660000000000059e-02,1.001100000000000080e-02
5.300000000000000266e-01,9.918059999999999654e-01,9.944549999999999917e-03,5.265599999999999621e-03,3.879790000000000148e-03
5.500000000000000444e-01,6.841199999999999504e-01,1.139979999999999986e-02,3.627759999999999839e-03,3.634210000000000131e-03
5.699999999999999512e-01,1.604879999999999848e-02,5.382930000000000180e-03,1.589109999999999915e-03,4.201240000000000183e-03
5.899999999999999689e-01,1.568999999999999909e-02,6.803189999999999758e-03,2.223059999999999793e-03,1.853590000000000012e-03
6.099999999999999867e-01,7.447539999999999889e-03,1.724630000000000000e-03,5.255759999999999946e-03,2.768430000000000109e-03
6.300000000000000044e-01,7.731469999999999836e-03,6.381559999999999663e-03,2.409350000000000207e-03,4.011810000000000202e-03
6.499999999999999112e-01,5.461409999999999876e-03,8.200640000000000360e-03,3.153580000000000012e-03,1.102010000000000055e-03
6.699999999999999289e-01,4.545070000000000013e-03,1.838669999999999931e-03,2.180060000000000157e-03,2.419510000000000150e-03
6.899999999999999467e-01,3.306429999999999959e-03,2.230839999999999993e-03,3.290899999999999815e-03,6.442999999999999942e-04
7.099999999999999645e-01,3.147179999999999856e-03,1.722400000000000016e-03,1.202209999999999997e-03,1.695630000000000054e-03
7.299999999999999822e-01,1.537100000000000011e-03,2.514460000000000046e-03,3.776949999999999839e-03,1.280700000000000068e-03
7.500000000000000000e-01,5.735230000000000015e-03,5.831189999999999984e-03,2.433970000000000144e-03,1.090269999999999954e-03
