epsilon,mc,hmf,dmf
0.000000000000000000e+00,9.995549999999999713e-01,9.999993122491447339e-01,9.995686935441081555e-01
4.000000000000000083e-02,9.995640000000000081e-01,9.999991795860986299e-01,9.995464601726997689e-01
8.000000000000000167e-02,9.994859999999999856e-01,9.999987304130221188e-01,9.994773599735203851e-01
1.199999999999999956e-01,9.994229999999999503e-01,9.999977914236820586e-01,9.993539091194681978e-01
1.600000000000000033e-01,9.991659999999999986e-01,9.999960002907939405e-01,9.991626483817813709e-01
2.000000000000000111e-01,9.988749999999999574e-01,9.999926657460002088e-01,9.988825116939777926e-01
2.399999999999999911e-01,9.985270000000000534e-01,9.999865004210329866e-01,9.984822026195059319e-01
2.800000000000000266e-01,9.978900000000000547e-01,9.999751225702062651e-01,9.979161430085368156e-01
3.200000000000000067e-01,9.971569999999999601e-01,9.999541316714384287e-01,9.971182511521483605e-01
3.599999999999999867e-01,9.959440000000000515e-01,9.999153918120353701e-01,9.959922512882410928e-01
4.000000000000000222e-01,9.942980000000000151e-01,9.998438281449806286e-01,9.943961332229055428e-01
4.400000000000000022e-01,9.912590000000000012e-01,9.997113884704543763e-01,9.921160888940608880e-01
4.799999999999999822e-01,9.860740000000000061e-01,9.994654485051934767e-01,9.888199073307042397e-01
5.200000000000000178e-01,1.833310000000000148e-02,9.990057832022533058e-01,9.839657058261876976e-01
5.600000000000000533e-01,4.632579999999999858e-03,9.981359493786371440e-01,9.765978723362476188e-01
5.999999999999999778e-01,5.838219999999999868e-03,9.964487354591913260e-01,9.647857353845014083e-01
6.400000000000000133e-01,4.192119999999999701e-03,6.041318289560428535e-04,9.991310520604146372e-03
6.800000000000000488e-01,2.111599999999999935e-03,5.091634134743778682e-04,3.159296190623925304e-03
7.199999999999999734e-01,1.726480000000000072e-03,5.846961375821524854e-04,6.867018844326320138e-04
7.600000000000000089e-01,3.110860000000000014e-03,6.272524437405521333e-04,6.623447876372525519e-04
8.000000000000000444e-01,1.508379999999999920e-03,5.196572049092144626e-04,6.206029011371681867e-04
8.399999999999999689e-01,1.432679999999999978e-03,5.274571458017729463e-04,5.075536720318921547e-04
8.800000000000000044e-01,2.123869999999999925e-03,5.285453550436375585e-04,5.276584467200272572e-04
9.200000000000000400e-01,5.535409999999999506e-04,5.288482682543735238e-04,5.369713643007938695e-04
9.599999999999999645e-01,1.103639999999999916e-03,5.289715775739800042e-04,5.429038012134248864e-04
1.000000000000000000e+00,1.405589999999999964e-03,5.290358647912061672e-04,5.278028510605072910e-04
