epsilon,hmf,mc
0.000000000000000000e+00,9.999993752997493601e-01,9.976786934089121317e-01
4.000000000000000083e-02,9.999992532307924176e-01,9.975737362719042656e-01
8.000000000000000167e-02,9.999988393148681043e-01,9.975714085576005141e-01
1.199999999999999956e-01,9.999979717725701045e-01,9.975643427739369073e-01
1.600000000000000033e-01,9.999963114952284959e-01,9.973116024471894159e-01
2.000000000000000111e-01,9.999932093969947644e-01,9.970612850759085211e-01
2.399999999999999911e-01,9.999874523262679560e-01,9.968384507715742915e-01
2.800000000000000266e-01,9.999767875076807089e-01,9.964082525574607940e-01
3.200000000000000067e-01,9.999570371580910333e-01,9.959268906029855595e-01
3.599999999999999867e-01,9.999204486433558303e-01,9.952489822572698763e-01
4.000000000000000222e-01,9.998526056501871873e-01,9.942770953798487632e-01
4.400000000000000022e-01,9.997265898223027802e-01,9.928973727600856058e-01
4.799999999999999822e-01,9.994917472081665810e-01,9.905629978544042702e-01
5.200000000000000178e-01,9.990513577251890487e-01,7.316774181484572148e-01
5.600000000000000533e-01,9.982155395506038253e-01,7.997093225905589631e-03
5.999999999999999778e-01,9.965907214690725713e-01,5.109596540105054534e-03
6.400000000000000133e-01,6.687691642884367434e-04,1.471759715535640072e-03
6.800000000000000488e-01,5.095665348235770605e-04,3.106751087564245829e-03
7.199999999999999734e-01,5.813846302309472929e-04,2.968907552396748365e-03
7.600000000000000089e-01,6.271485834754215224e-04,1.358604213092568782e-03
8.000000000000000444e-01,5.198133245837374293e-04,3.361942043945811975e-03
8.399999999999999689e-01,5.275543234938821378e-04,1.331017454620849957e-03
8.800000000000000044e-01,5.285749756835174569e-04,2.010698337047213055e-03
9.200000000000000400e-01,5.288618866184282424e-04,1.255058460562817786e-03
9.599999999999999645e-01,5.289791728704030561e-04,1.979108895379700327e-03
1.000000000000000000e+00,5.290406336748582896e-04,1.478898932767238857e-03
