T,N,degree,eps_c
2.999999999999999889e-01,8.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,3.248784823884138251e-01
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,4.289415998959630882e-01
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,5.149235477089174617e-01
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,5.253360446453700927e-01
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,5.750077145686678382e-01
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,6.251698347182531590e-01
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,6.252713690147543302e-01
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,6.750998602961856276e-01
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,6.750925866261331398e-01
2.999999999999999889e-01,8.000000000000000000e+02,3.500000000000000000e+01,6.750339583141136135e-01
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+01,6.750372228391950946e-01
1.000000000000000000e+00,8.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.000000000000000000e+02,4.000000000000000000e+00,1.634906182885819126e-01
1.000000000000000000e+00,8.000000000000000000e+02,6.000000000000000000e+00,2.728250957140959110e-01
1.000000000000000000e+00,8.000000000000000000e+02,8.000000000000000000e+00,3.750996633124217827e-01
1.000000000000000000e+00,8.000000000000000000e+02,1.000000000000000000e+01,4.743083961475698107e-01
1.000000000000000000e+00,8.000000000000000000e+02,1.400000000000000000e+01,5.250879564695399848e-01
1.000000000000000000e+00,8.000000000000000000e+02,1.800000000000000000e+01,5.751116840631145255e-01
1.000000000000000000e+00,8.000000000000000000e+02,2.200000000000000000e+01,6.251240105458034657e-01
1.000000000000000000e+00,8.000000000000000000e+02,2.600000000000000000e+01,6.469874952989845829e-01
1.000000000000000000e+00,8.000000000000000000e+02,3.000000000000000000e+01,6.344248929580219576e-01
1.000000000000000000e+00,8.000000000000000000e+02,3.500000000000000000e+01,6.750386029658308473e-01
1.000000000000000000e+00,8.000000000000000000e+02,4.000000000000000000e+01,7.250648697815392785e-01
6.500000000000000222e-01,3.000000000000000000e+02,2.000000000000000000e+00,6.064670542313991414e-02
6.500000000000000222e-01,3.000000000000000000e+02,4.000000000000000000e+00,2.522207763382997014e-01
6.500000000000000222e-01,3.000000000000000000e+02,6.000000000000000000e+00,3.848208072372999444e-01
6.500000000000000222e-01,3.000000000000000000e+02,8.000000000000000000e+00,4.808654374105226226e-01
6.500000000000000222e-01,3.000000000000000000e+02,1.000000000000000000e+01,5.251566650596368735e-01
6.500000000000000222e-01,3.000000000000000000e+02,1.400000000000000000e+01,6.189612526052183927e-01
6.500000000000000222e-01,3.000000000000000000e+02,1.800000000000000000e+01,6.643026174389955463e-01
6.500000000000000222e-01,3.000000000000000000e+02,2.200000000000000000e+01,6.750341854930582697e-01
6.500000000000000222e-01,3.000000000000000000e+02,2.600000000000000000e+01,7.250529929764115700e-01
6.500000000000000222e-01,3.000000000000000000e+02,3.000000000000000000e+01,6.750552098431080728e-01
6.500000000000000222e-01,3.000000000000000000e+02,3.500000000000000000e+01,7.251697432085726369e-01
6.500000000000000222e-01,3.000000000000000000e+02,4.000000000000000000e+01,7.251959473709470583e-01
6.500000000000000222e-01,2.000000000000000000e+03,2.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-01,2.000000000000000000e+03,4.000000000000000000e+00,2.230834962258452792e-01
6.500000000000000222e-01,2.000000000000000000e+03,6.000000000000000000e+00,3.741222796552415852e-01
6.500000000000000222e-01,2.000000000000000000e+03,8.000000000000000000e+00,4.248913803069768735e-01
6.500000000000000222e-01,2.000000000000000000e+03,1.000000000000000000e+01,4.750198782810337583e-01
6.500000000000000222e-01,2.000000000000000000e+03,1.400000000000000000e+01,5.251967447823693291e-01
6.500000000000000222e-01,2.000000000000000000e+03,1.800000000000000000e+01,5.750946166346291299e-01
6.500000000000000222e-01,2.000000000000000000e+03,2.200000000000000000e+01,6.250493218397347173e-01
6.500000000000000222e-01,2.000000000000000000e+03,2.600000000000000000e+01,6.250402182479171120e-01
6.500000000000000222e-01,2.000000000000000000e+03,3.000000000000000000e+01,6.251328813279469765e-01
6.500000000000000222e-01,2.000000000000000000e+03,3.500000000000000000e+01,6.750398923044248489e-01
6.500000000000000222e-01,2.000000000000000000e+03,4.000000000000000000e+01,6.750805595095615841e-01
