epsilon,m_sw200,m_sw500,m_sw1000,m_sw1500,m_sw3000,m_sw6000
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999947499999999323e-01,9.999964999999999549e-01,9.999985000000000124e-01,9.999995000000000411e-01
5.000000000000000278e-02,1.000000000000000000e+00,1.000000000000000000e+00,9.999947499999999323e-01,9.999957499999999611e-01,9.999982499999999774e-01,9.999995000000000411e-01
1.000000000000000056e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999992500000000062e-01,9.999982499999999774e-01,9.999995000000000411e-01
1.500000000000000222e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999992500000000062e-01,9.999982499999999774e-01,9.999989999999999712e-01
2.000000000000000111e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999992500000000062e-01,9.999987499999999363e-01,9.999972500000000597e-01
2.500000000000000000e-01,9.999947499999999323e-01,9.999977500000000186e-01,1.000000000000000000e+00,9.999977500000000186e-01,9.999962499999999199e-01,9.999960000000001070e-01
3.000000000000000444e-01,9.999947499999999323e-01,9.999977500000000186e-01,1.000000000000000000e+00,9.999972500000000597e-01,9.999927500000000968e-01,9.999919999999999920e-01
3.500000000000000333e-01,9.999947499999999323e-01,9.999977500000000186e-01,9.999967499999999898e-01,9.999949999999999672e-01,9.999885000000000579e-01,9.999894999999999756e-01
4.000000000000000222e-01,9.999947499999999323e-01,9.999977500000000186e-01,9.999945000000000084e-01,9.999934999999999796e-01,9.999835000000000251e-01,9.999807500000000848e-01
4.500000000000000111e-01,9.999839999999999840e-01,9.999957499999999611e-01,9.999869999999999592e-01,9.999814999999999676e-01,9.999704999999999844e-01,9.999700000000000255e-01
5.000000000000000000e-01,9.999732500000000357e-01,9.999805000000000499e-01,9.999635000000000051e-01,9.999577500000000896e-01,9.999534999999999396e-01,9.999477500000000241e-01
5.500000000000000444e-01,9.999465000000000714e-01,9.999657499999999866e-01,9.999242499999999589e-01,9.999250000000000638e-01,9.999127499999999058e-01,9.999082500000000540e-01
6.000000000000000888e-01,4.870349750000000366e-01,8.746667500000000484e-01,9.997892500000000737e-01,9.997942499999999955e-01,9.998050000000000548e-01,9.998134999999999106e-01
6.500000000000000222e-01,1.442212499999999918e-02,7.849430000000000990e-03,6.630447500000000854e-03,6.239527500000000525e-03,1.881423000000000123e-03,6.836499249999999916e-02
7.000000000000000666e-01,7.328674999999999773e-03,7.214242500000000655e-03,3.855710000000000040e-03,2.612734999999999710e-03,1.800216999999999790e-03,1.313960999999999775e-03
7.500000000000000000e-01,8.675409999999999719e-03,2.167655000000000103e-03,4.051462500000000203e-03,2.434730999999999874e-03,1.598325749999999872e-03,1.183433000000000011e-03
8.000000000000000444e-01,5.616342500000000466e-03,3.426869999999999829e-03,3.989067499999999523e-03,3.008789999999999902e-03,9.574192500000000203e-04,1.136031750000000059e-03
8.500000000000000888e-01,7.871607499999998953e-03,5.809389999999999346e-03,2.171746999999999914e-03,1.711489000000000066e-03,1.045806499999999990e-03,9.325927500000001386e-04
9.000000000000000222e-01,3.648675000000000095e-03,3.231159999999999848e-03,2.577509999999999871e-03,1.148345999999999959e-03,1.093804000000000087e-03,4.896932500000000061e-04
9.500000000000000666e-01,4.627547499999999821e-03,2.597251749999999679e-03,1.316985249999999986e-03,1.706132250000000046e-03,1.351325000000000009e-03,7.763057499999999594e-04
1.000000000000000000e+00,5.918177499999999897e-03,3.592527000000000307e-03,2.251162499999999865e-03,2.123047500000000039e-03,9.970475000000002079e-04,8.044687499999999538e-04
