graph_seed,mc_seed,eps_c
1.000000000000000000e+00,1.000000000000000000e+00,6.251396103394354364e-01
1.000000000000000000e+00,2.000000000000000000e+00,6.380020680321761839e-01
1.000000000000000000e+00,3.000000000000000000e+00,6.252947044553757161e-01
1.000000000000000000e+00,4.000000000000000000e+00,6.251525615994011353e-01
1.000000000000000000e+00,5.000000000000000000e+00,6.251003746303733788e-01
2.000000000000000000e+00,1.000000000000000000e+00,6.252224700994424289e-01
2.000000000000000000e+00,2.000000000000000000e+00,6.251576649330776725e-01
2.000000000000000000e+00,3.000000000000000000e+00,6.251634906332163011e-01
2.000000000000000000e+00,4.000000000000000000e+00,6.250216391942799987e-01
2.000000000000000000e+00,5.000000000000000000e+00,6.251879987105902758e-01
3.000000000000000000e+00,1.000000000000000000e+00,6.250225501159222263e-01
3.000000000000000000e+00,2.000000000000000000e+00,6.251512922415517481e-01
3.000000000000000000e+00,3.000000000000000000e+00,6.251417232427567416e-01
3.000000000000000000e+00,4.000000000000000000e+00,6.251830364792266836e-01
3.000000000000000000e+00,5.000000000000000000e+00,6.251540911176381998e-01
4.000000000000000000e+00,1.000000000000000000e+00,6.250960850500900667e-01
4.000000000000000000e+00,2.000000000000000000e+00,6.251644848184108039e-01
4.000000000000000000e+00,3.000000000000000000e+00,6.250854324823904573e-01
4.000000000000000000e+00,4.000000000000000000e+00,6.251683052378550487e-01
4.000000000000000000e+00,5.000000000000000000e+00,6.250807755634061325e-01
5.000000000000000000e+00,1.000000000000000000e+00,6.250935262674348625e-01
5.000000000000000000e+00,2.000000000000000000e+00,6.250338578558850555e-01
5.000000000000000000e+00,3.000000000000000000e+00,6.251677546506120287e-01
5.000000000000000000e+00,4.000000000000000000e+00,6.251702290780571936e-01
5.000000000000000000e+00,5.000000000000000000e+00,6.251657057276729379e-01
